tableName,columnType,columnName,,,,,
fac_event,LongType,id,,,,,
fac_event,IntegerType,bid,,,,行标签,计数项:columnName
fac_event,StringType,devid,,,,fac_event,23
fac_event,TimestampType,itime,,,,IntegerType,7
fac_event,TimestampType,dtime,,,,LongType,2
fac_event,IntegerType,euid,,,,StringType,12
fac_event,IntegerType,epid,,,,TimestampType,2
fac_event,IntegerType,dsteuid,,,,faz_event,171
fac_event,IntegerType,dstepid,,,,IntegerType,40
fac_event,IntegerType,logflag,,,,LongType,19
fac_event,IntegerType,logver,,,,ShortType,14
fac_event,StringType,vd,,,,StringType,96
fac_event,StringType,logid,,,,TimestampType,2
fac_event,LongType,faclogindex,,,,fch_anomaly,49
fac_event,StringType,type,,,,IntegerType,9
fac_event,StringType,subtype,,,,LongType,8
fac_event,StringType,level,,,,ShortType,1
fac_event,StringType,action,,,,StringType,29
fac_event,StringType,status,,,,TimestampType,2
fac_event,StringType,logdesc,,,,fch_app_ctrl,51
fac_event,StringType,user,,,,IntegerType,9
fac_event,StringType,nas,,,,LongType,8
fac_event,StringType,msg,,,,ShortType,1
fch_anomaly,LongType,id,,,,StringType,31
fch_anomaly,IntegerType,bid,,,,TimestampType,2
fch_anomaly,StringType,devid,,,,fch_contentlog,82
fch_anomaly,TimestampType,itime,,,,IntegerType,9
fch_anomaly,TimestampType,dtime,,,,LongType,13
fch_anomaly,IntegerType,euid,,,,ShortType,3
fch_anomaly,IntegerType,epid,,,,StringType,55
fch_anomaly,IntegerType,dsteuid,,,,TimestampType,2
fch_anomaly,IntegerType,dstepid,,,,fch_dlp,57
fch_anomaly,IntegerType,logflag,,,,IntegerType,9
fch_anomaly,IntegerType,logver,,,,LongType,9
fch_anomaly,LongType,sfsid,,,,ShortType,1
fch_anomaly,StringType,vd,,,,StringType,36
fch_anomaly,StringType,logid,,,,TimestampType,2
fch_anomaly,StringType,type,,,,fch_event,233
fch_anomaly,StringType,subtype,,,,IntegerType,16
fch_anomaly,StringType,level,,,,LongType,45
fch_anomaly,LongType,sessionid,,,,ShortType,30
fch_anomaly,LongType,attackid,,,,StringType,140
fch_anomaly,StringType,severity,,,,TimestampType,2
fch_anomaly,StringType,profile,,,,fch_ips,49
fch_anomaly,StringType,srcip,,,,IntegerType,9
fch_anomaly,StringType,dstip,,,,LongType,8
fch_anomaly,IntegerType,srcport,,,,ShortType,1
fch_anomaly,StringType,icmpid,,,,StringType,29
fch_anomaly,IntegerType,dstport,,,,TimestampType,2
fch_anomaly,StringType,icmptype,,,,fch_netscan,57
fch_anomaly,StringType,icmpcode,,,,IntegerType,9
fch_anomaly,StringType,srcintf,,,,LongType,10
fch_anomaly,StringType,dstintf,,,,StringType,36
fch_anomaly,StringType,action,,,,TimestampType,2
fch_anomaly,ShortType,proto,,,,fch_spam,45
fch_anomaly,StringType,service,,,,IntegerType,9
fch_anomaly,StringType,user,,,,LongType,5
fch_anomaly,StringType,group,,,,ShortType,1
fch_anomaly,StringType,ref,,,,StringType,28
fch_anomaly,LongType,count,,,,TimestampType,2
fch_anomaly,LongType,incidentserialno,,,,fch_traffic,98
fch_anomaly,StringType,msg,,,,IntegerType,12
fch_anomaly,StringType,attackcontext,,,,LongType,30
fch_anomaly,StringType,attackcontextid,,,,ShortType,1
fch_anomaly,StringType,profiletype,,,,StringType,53
fch_anomaly,StringType,attack,,,,TimestampType,2
fch_anomaly,StringType,direction,,,,fch_virus,54
fch_anomaly,StringType,agent,,,,IntegerType,9
fch_anomaly,StringType,eventtype,,,,LongType,5
fch_anomaly,LongType,crscore,,,,ShortType,1
fch_anomaly,LongType,craction,,,,StringType,37
fch_anomaly,StringType,crlevel,,,,TimestampType,2
fch_app_ctrl,LongType,id,,,,fch_voip,52
fch_app_ctrl,IntegerType,bid,,,,IntegerType,9
fch_app_ctrl,StringType,devid,,,,LongType,9
fch_app_ctrl,TimestampType,itime,,,,ShortType,1
fch_app_ctrl,TimestampType,dtime,,,,StringType,31
fch_app_ctrl,IntegerType,euid,,,,TimestampType,2
fch_app_ctrl,IntegerType,epid,,,,fch_webfilter,64
fch_app_ctrl,IntegerType,dsteuid,,,,IntegerType,9
